Protein.IDs,Protein.names,QGene.names,LFQ.intensity.Human_Macs_D1_M1,LFQ.intensity.Human_Macs_D1_M2,LFQ.intensity.Human_Macs_D2_M1,LFQ.intensity.Human_Macs_D2_M2,LFQ.intensity.Human_Macs_D5_M1,LFQ.intensity.Human_Macs_D5_M2,LFQ.intensity.Human_Macs_D6_M1,LFQ.intensity.Human_Macs_D7_M2
O94776;O94776-2;H0YIT0;E9PF88,Metastasis-associated protein MTA2,MTA2,30.33191437,30.29109852,30.92846569,30.54811741,30.36640526,30.42462341,30.50843078,30.16961498
O94788;O94788-2;H0YMG7;O94788-3;O94788-4;H0YKL3;H0Y2X5;P47895;Q9UED3;E9PF31;A0A0U1RQK9,Retinal dehydrogenase 2,ALDH1A2,31.66687072,30.3141926,31.71926711,30.60514266,32.02910694,28.80968081,30.43946229,30.05711119
O94804;H0YB71,Serine/threonine-protein kinase 10,STK10,32.11234799,32.40375169,32.13194614,32.54450616,32.13797248,32.50045098,31.99260217,32.34791749
O94817,Ubiquitin-like protein ATG12,ATG12,25.70606574,26.47119269,25.40853344,26.53747768,25.95495701,26.14790702,25.25010234,25.65709161
O94822;O94822-3;H7BYG8;S4R3T2;O94822-2,E3 ubiquitin-protein ligase listerin,LTN1,26.66180093,26.25026502,26.40173121,28.36168654,26.79389597,25.82970435,26.10892831,26.57187136
O94826,Mitochondrial import receptor subunit TOM70,TOMM70A,30.40436093,30.96829168,31.53185319,30.628623,30.70429552,30.5560899,31.58095949,30.58342751
O94829;Q5T4X2,Importin-13,IPO13,27.59555355,28.36732216,27.04978292,28.17683604,26.8312276,29.13369239,26.1367069,28.377287
O94832;K7EIG7;J3QRN6;J3KRL0;J3QRR2,Unconventional myosin-Id,MYO1D,26.38165807,27.48270002,28.87712946,29.31153169,27.8023648,28.20466479,28.13667757,27.09143991
O94842-3;O94842-2;O94842;Q96NM4-3;Q96NM4;Q96NM4-4;Q96NM4-2;O15405-2;O15405,TOX high mobility group box family member 4,TOX4,24.29907942,24.41834729,24.04793333,25.13429972,25.50020876,24.76405356,24.94377965,25.02030382
O94855;O94855-2;E9PDM8;E9PC44,Protein transport protein Sec24D,SEC24D,31.59076175,31.6169306,31.43797534,31.43096604,31.22371762,31.33511325,30.75015075,31.466066
O94874;O94874-2;O94874-3;Q92845-4;Q92845-2;Q92845-3;Q92845,E3 UFM1-protein ligase 1,UFL1,31.56560816,31.52295066,32.03354424,31.63970406,31.39846075,31.30072966,32.24274923,31.59650467
O94876;E9PC87;D6RBT7;O94876-2,Transmembrane and coiled-coil domains protein 1,TMCC1,24.58514456,25.60761026,NA,24.42014785,NA,25.16859684,24.42719978,24.81474947
O94885;A0A087WW74,SAM and SH3 domain-containing protein 1,SASH1,NA,24.15930965,23.50700193,24.70725127,24.46475811,24.53118392,23.68099557,23.95615421
O94886;Q2HIZ8;X6RI56,CSC1-like protein 1,TMEM63A,29.37447061,29.25455575,29.01871313,29.72343147,29.8025651,29.51054501,30.48519786,29.25024694
O94887-3;O94887-2;O94887,"FERM, RhoGEF and pleckstrin domain-containing protein 2",FARP2,NA,NA,24.31160531,NA,25.18517972,NA,25.25100587,24.91246215
O94888;C9JAT7;F8WB69;C9JD50;H7BYF4,UBX domain-containing protein 7,UBXN7,26.40329255,27.07897703,26.84278077,27.0570337,26.52839938,27.05786005,25.73202848,27.17398053
O94903;E5RG77;E5RFX7;H0YBG2;E5RFZ4,Proline synthase co-transcribed bacterial homolog protein,PROSC,30.59236673,30.75867305,30.55572431,30.34223191,30.05904709,30.58459275,29.44245139,30.58808282
O94906;O94906-2,Pre-mRNA-processing factor 6,PRPF6,29.63325623,29.79161574,30.40263407,30.19472038,30.01051991,29.94962962,30.50075963,30.11135328
O94913;E9PKN0;E9PQ01;E9PNY7;E9PQF9,Pre-mRNA cleavage complex 2 protein Pcf11,PCF11,26.06430991,26.95460209,26.35823588,26.58405506,26.86714618,27.16432525,26.1928549,27.2115041
O94915;A0A286YEZ9;A0A2C9F2R7;H0Y9X0;F2Z2S2;D6RJI4;O94915-2,Protein furry homolog-like,FRYL,27.33773105,27.38343905,27.07958748,27.34443476,27.58305085,27.49868806,26.88808993,27.3248303
O94919,Endonuclease domain-containing 1 protein,ENDOD1,28.14360283,24.71324302,27.15479803,26.33031226,28.11579927,25.094262,28.97547078,25.71022398
O94925;B7Z509;H7BZD1;C9JIJ6;O94925-2;H7C201,"Glutaminase kidney isoform, mitochondrial",GLS,32.8013359,31.64898796,32.59970011,32.00961928,33.49750365,31.58172278,34.10704015,31.7352961
O94925-3;B8ZZA8;B8ZZC5,"Glutaminase kidney isoform, mitochondrial",GLS,29.01411683,27.84044151,28.92371384,28.17821417,29.56012347,27.85442053,29.89015028,27.92733572
O94966-7;O94966-6;O94966-5;E7EST9;B5MEG5;O94966-4;O94966-3;O94966;E7ESU0;A0A0A0MR08;O94966-2;H0YB23,Ubiquitin carboxyl-terminal hydrolase 19;Ubiquitin carboxyl-terminal hydrolase,USP19,27.62637913,27.256919,27.11028321,27.31958585,27.33764599,27.44411152,26.73956741,27.5593213
O94973;A0A0G2JS82;E9PR62;A0A0G2JRF9;A0A0G2JQA4;A0A0G2JQT9;H0YEG0;A0A0G2JS17;H0YDE9;A0A0G2JRS3;E9PQP4;E9PNC4;E9PPY8;E9PPZ3;E9PS94;M0R2D9,AP-2 complex subunit alpha-2,AP2A2,32.31481385,33.81096037,31.84449532,33.66638402,31.81233826,33.71477146,32.24260728,33.83780154
O94973-2;O94973-3;A0A0G2JQM1,AP-2 complex subunit alpha-2,AP2A2,24.86254239,26.6528045,NA,26.46040552,25.04489401,26.82250159,25.00328834,26.48276156
O94992,Protein HEXIM1,HEXIM1,28.57025788,27.39411174,28.05568988,27.73492478,28.58806494,27.24644633,28.20195735,27.78494051
O95071-2;O95071;E7EMW7;E7ET84,E3 ubiquitin-protein ligase UBR5,UBR5,25.31150138,25.01222623,25.64724233,25.24441523,24.70904089,25.40356886,24.87544302,25.48919309
O95081;A0A0C4DG34;O95081-2,Arf-GAP domain and FG repeat-containing protein 2,AGFG2,25.31865534,24.54215053,23.72223636,23.67605262,24.76045398,24.06340496,24.12943396,24.66291476
O95104;O95104-2;O95104-3,"Splicing factor, arginine/serine-rich 15",SCAF4,27.77918973,27.44584866,27.75995897,27.53756655,27.56019637,27.46614382,27.71168178,27.56056083
O95136,Sphingosine 1-phosphate receptor 2,S1PR2,26.18279532,25.70817268,25.30528637,26.21202386,26.43887166,26.58060913,26.63837537,26.07516607
O95139;A0A087WZX2;O95139-2;Q7Z6M2,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6;F-box only protein 33,NDUFB6;FBXO33,NA,26.73453722,25.33340379,26.06076914,26.21990867,25.5584457,25.37388178,25.38511907
O95140;O95140-2;Q5JXC5,Mitofusin-2,MFN2,28.81210105,29.38560048,29.35854611,29.38547706,29.33645467,29.58940505,29.71682485,29.35436922
O95149;H3BRI5;H3BUB4;H3BQR0;H3BTA6;H3BSK1,Snurportin-1,SNUPN,26.041347,26.76635562,26.19503497,26.54079164,26.25815984,26.89272883,25.65878111,26.99431632
O95155-2;O95155;O95155-4;O95155-3;K7ERA7;K7EP75;B1AQ61,Ubiquitin conjugation factor E4 B,UBE4B,22.99210023,26.51975849,24.92143419,27.210947,25.6009072,27.70872524,24.94360083,28.44494088
O95159;E9PQ47;E9PNY1;E9PQA5;E9PMQ3;E9PJX1;E9PJ47;H0YCU8,Zinc finger protein-like 1,ZFPL1,28.98587441,28.69826311,29.6343473,28.94793117,29.21657769,28.95908758,29.94181692,28.91903156
O95163;F5H2T0;H0YDF3,Elongator complex protein 1,IKBKAP,28.22866826,28.33052598,28.02194568,28.46236503,28.0753089,28.52346486,27.28691967,28.24390701
O95164,Ubiquitin-like protein 3,UBL3,28.20657562,27.32534512,27.76483819,27.69358511,27.86590814,27.64615754,28.56063371,27.75232194
Q6FGG4;O95167;S4R3I5;H7C0D7;H7C2R1;A8MVM8;S4R3T6;A8MYJ8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,NDUFA3,27.52492234,27.81586122,28.58053726,27.8647871,27.89377053,27.73097972,28.11470767,27.5187085
O95168;O95168-2;C9JXQ9;F2Z3P9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUFB4,29.41486037,29.63417417,30.33777357,29.79029559,29.77291276,29.74973529,30.01743932,28.96207019
O95169-3;O95169;E9PQ68;O95169-2;K9J7I2;E9PIZ8,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",NDUFB8,28.37546526,28.96366941,29.78102059,28.972461,28.86455098,29.00707446,29.48306536,28.33713554
O95182;M0R0N0;M0R1K9,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,NDUFA7,29.38683413,29.99145377,30.51737615,29.74839224,29.74305566,29.95004697,30.11408707,29.43121518
O95183,Vesicle-associated membrane protein 5,VAMP5,27.92801381,25.48219224,27.46520978,25.25432598,28.30195084,24.98593954,28.88189117,24.44865525
O95197-3;O95197-6;O95197-5;O95197-4;O95197-7;O95197-2;O95197;B7Z4M1;F5H617;F5H891;F5GWG7,Reticulon-3;Reticulon,RTN3,30.94006722,31.37414927,31.14132653,31.72882479,31.41483013,31.54908195,31.66991421,31.04771756
O95202;O95202-2;O95202-3,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",LETM1,30.57542476,30.49390641,30.85363259,30.53324652,30.61394874,30.38658749,31.46333989,30.47952344
O95210,Starch-binding domain-containing protein 1,STBD1,27.90552418,26.24485071,28.04754856,26.83653429,27.85590603,26.81738694,28.88986027,26.56588593
O95218-2;O95218,Zinc finger Ran-binding domain-containing protein 2,ZRANB2,26.85067025,25.91866201,26.39809781,26.29696366,26.74983118,26.68391576,26.21563845,26.44895451
O95219;O95219-2;F8W9T3;F8WDD4,Sorting nexin-4,SNX4,28.22191003,29.10001505,28.32808773,29.23015816,28.44371643,29.37918909,27.08141728,28.83945068
O95236;O95236-2;O95236-3,Apolipoprotein L3,APOL3,31.12342974,29.20613309,31.08626012,28.82690149,31.36593617,27.91746742,31.29016483,29.36385991
O95239-2;O95239;Q5JRK0;H0Y718;J3KPF9;A0A087X011;E9PES4;Q9Y496;Q6ZMV9-3;Q6ZMV9;Q2VIQ3,Chromosome-associated kinesin KIF4A;Kinesin-like protein;Kinesin-like protein KIF3A;Kinesin-like protein KIF6;Chromosome-associated kinesin KIF4B,KIF4A;KIF6;KIF3A;KIF4B,26.3220471,26.59020851,NA,24.76268576,NA,26.80710292,27.28462715,26.15566674
O95248;O95248-5;O95248-4;H0Y5W8,Myotubularin-related protein 5,SBF1,26.76407888,26.16536078,27.43428106,27.18527426,27.60717282,27.30799788,28.08744933,27.01627068
O95251-4;O95251;E7EUP3;O95251-2;O95251-3;O95251-5,Histone acetyltransferase KAT7;Histone acetyltransferase,KAT7,24.41963363,25.09313383,25.86289705,25.86145423,24.61414187,25.33289184,25.52895076,26.14226913
O95274,Ly6/PLAUR domain-containing protein 3,LYPD3,NA,NA,NA,NA,NA,NA,NA,24.24372546
O95292;E5RK64;O95292-2,Vesicle-associated membrane protein-associated protein B/C,VAPB,30.54729015,30.64529875,30.90009137,30.53194612,30.64547055,30.52719903,31.25968246,30.15966573
O95294-4;O95294-3;O95294-2;O95294,RasGAP-activating-like protein 1,RASAL1,24.64839489,25.97980475,24.01427116,25.07830524,24.91159387,26.22101576,24.18654047,27.44450651
O95295,SNARE-associated protein Snapin,SNAPIN,30.13577288,30.27008212,29.78034798,29.70581205,29.76774519,29.71567989,29.6810358,30.03524979
O95297-2;O95297;O95297-4;O95297-5,Myelin protein zero-like protein 1,MPZL1,28.11802951,26.98163487,28.24576659,27.17892649,27.27914565,27.2793228,27.43451968,26.66220853
Q9UEL6;O95297-3,Myelin protein zero-like protein 1,MPZL1,24.95358121,NA,NA,NA,NA,NA,NA,NA
O95298-2;O95298;E9PRJ5;E9PRQ4;A0A087WY27;E9PM14;A0A087WUM3;O95298-3;E9PQ53,NADH dehydrogenase [ubiquinone] 1 subunit C2,NDUFC2,28.90867673,29.1715489,29.38214063,29.14352985,29.20527094,29.2336591,29.66185188,28.62717967
O95302;O95302-3;O95302-2;C9J4P8;Q75LS8,Peptidyl-prolyl cis-trans isomerase FKBP9,FKBP9,27.68598846,27.3848392,27.20545739,27.43316694,26.59092233,27.22416629,26.63796098,27.3595099
O95336;M0R261;M0R0U3;M0R1L2,6-phosphogluconolactonase,PGLS,32.90580389,32.76744134,32.27461545,32.17572425,32.30899603,32.75238575,31.77878255,32.78411759
O95340;O95340-2,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 2;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,PAPSS2,29.97035041,30.32066209,29.95296501,30.65283868,30.03603628,30.65420536,30.09634982,30.56556277
O95347-2;O95347;Q5T821;A0A0C4DGE5,Structural maintenance of chromosomes protein 2,SMC2,NA,NA,25.96611445,24.61902124,NA,NA,NA,NA
O95352;O95352-2;O95352-3;C9JFF4;C9J415;C9JE55;C9JNU2;C9JKA3;H7C2R3;H7BZ92;H7C2J8;C9JGL2;F8WDY9;H7C369;H7C059,Ubiquitin-like modifier-activating enzyme ATG7,ATG7,32.07985447,32.65527217,31.61179621,32.20165945,32.09143991,32.67648648,31.56796662,32.47189038
O95365,Zinc finger and BTB domain-containing protein 7A,ZBTB7A,25.62566872,24.56022553,26.36253956,25.24612009,26.57253648,25.73440801,26.39193436,25.4408527
O95372;Q5QPQ1;Q5QPQ0;Q5QPQ3;Q5QPQ2;Q5QPN5;Q5QPN9,Acyl-protein thioesterase 2,LYPLA2,30.860679,31.86651256,30.98073644,31.15490664,30.85117681,31.70549074,30.17628917,31.63348144
O95373;E9PLB2;E9PLJ0,Importin-7,IPO7,31.54793362,31.2999659,31.21054065,31.49828861,31.60337498,31.20384843,31.16925656,31.646458
O95376,E3 ubiquitin-protein ligase ARIH2,ARIH2,26.1284903,26.02221032,25.59519783,26.14600427,25.8404295,25.89716818,25.18124145,25.58201722
O95379;D6RCM8;O95379-2;O95379-4;J3KQT8;E5RIJ3,Tumor necrosis factor alpha-induced protein 8,TNFAIP8,32.350001,31.43484773,31.43832243,31.00242745,31.52388544,31.09421166,31.04028903,31.50791119
O95379-3,Tumor necrosis factor alpha-induced protein 8,TNFAIP8,NA,NA,24.8169477,NA,NA,NA,NA,NA
O95382;O95382-3;O95382-2,Mitogen-activated protein kinase kinase kinase 6,MAP3K6,NA,24.28100462,NA,NA,24.7182172,NA,NA,24.63820963
O95391;A0A0C4DGD2;E5RGM7;E5RK41,Pre-mRNA-splicing factor SLU7,SLU7,24.22765883,NA,24.35050059,23.82541613,24.48443744,NA,25.00530313,NA
O95396,Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase,MOCS3,26.45985857,26.54138262,26.31756898,26.01077599,25.81350232,26.29850271,24.87417691,26.31634369
O95400,CD2 antigen cytoplasmic tail-binding protein 2,CD2BP2,25.69516605,25.66125728,26.39653083,25.73500228,25.86251875,25.62204154,25.80594752,25.4829923
O95425-2;O95425-4;O95425-3;O95425;A0A0J9YWY6,Supervillin,SVIL,29.09968907,NA,29.43642727,25.80955815,28.47745974,23.04513573,29.49571806,23.08683207
O95429-2;O95429,BAG family molecular chaperone regulator 4,BAG4,NA,NA,NA,NA,NA,NA,NA,24.5785952
O95433;O95433-2;G3V438;H0YJG7;H0YJU2;G3V3W9;H0YJ63,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,31.0640683,30.85979082,30.296141,30.88583759,30.88678255,30.98053218,30.12804775,31.13363116
O95456;O95456-2;F8WBH7,Proteasome assembly chaperone 1,PSMG1,26.75976854,27.35716215,27.67767975,27.33773105,27.50703218,27.76072045,26.88040299,27.63242439
O95466-2;O95466;O95466-3;K7EK60;A0A0A0MR62;K7EJE6;K7ERL1;K7EMY8,Formin-like protein 1,FMNL1,33.6789224,33.01709082,33.25532705,33.05358765,33.22144337,32.81331348,33.453537,33.11200614
O95470;H7BXL7;H0Y3V8,Sphingosine-1-phosphate lyase 1,SGPL1,30.58127383,32.90661044,31.38350085,32.98498541,31.20016905,33.19533658,31.70516112,33.23463578
O95477,ATP-binding cassette sub-family A member 1,ABCA1,NA,24.37530782,25.72551646,25.45807563,24.67529895,24.5731146,24.88506663,24.63311763
O95478;A0A0A0MQZ6;H0YAI9,Ribosome biogenesis protein NSA2 homolog,NSA2,NA,25.96725845,25.52444415,26.5927766,25.37520837,25.77069676,25.96798398,25.81186227
R4GMU1;O95479,GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase,H6PD,32.92715908,31.8243011,31.84867954,31.5429623,32.46835002,30.82903591,33.00309797,31.67820885
O95486;O95486-2,Protein transport protein Sec24A,SEC24A,30.51050728,29.7224709,30.30378068,29.59894627,30.0480425,29.53538034,29.47227783,29.61145327
O95487-2;O95487;O95487-3,Protein transport protein Sec24B,SEC24B,30.17937744,30.02168099,29.87748055,30.1111045,29.98847719,30.14831443,29.48437213,30.03616732
O95497;Q9NY84-5;Q9NY84-2;Q9NY84,Pantetheinase,VNN1,NA,NA,NA,NA,23.03084694,25.95144836,24.6440543,25.70464182
O95544;O95544-2;A0A0A0MR98;O95544-3;J3KSP9;J3KTI3,NAD kinase,NADK,31.36656159,30.26181323,30.48010152,29.84057657,31.32822686,30.23557757,30.54314672,30.28967028
O95551;O95551-2;X6R5A3;O95551-3,Tyrosyl-DNA phosphodiesterase 2,TDP2,26.17262695,26.44259376,25.69750106,24.88804347,26.16246325,27.04967907,25.22129239,27.10049135
Q5TIH2;O95562,Vesicle transport protein SFT2B,SFT2D2,NA,24.66616981,NA,24.75664183,24.09595261,24.31755173,23.73603521,24.38179007
Q5R3B4;O95563,Mitochondrial pyruvate carrier 2,MPC2,29.30018416,29.9046919,29.82985251,29.58116607,29.63545484,29.18584136,30.32688848,29.33274676
O95571;M0QXB5;M0QY80;M0QX80,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1,32.18056347,32.29449865,32.61721531,32.04149714,32.24674644,31.96144242,32.92613415,32.30880622
O95573;F5GWH2;C9JC11;F5H062,Long-chain-fatty-acid--CoA ligase 3,ACSL3,32.14175285,31.64267625,32.2504785,32.04989325,32.15439365,31.52098565,32.91950758,31.58360684
O95613-2;O95613,Pericentrin,PCNT,NA,26.14963286,26.12699492,25.94846598,26.0639809,26.69325276,26.15728695,26.70596032
O95628-8;O95628-4;O95628-9;O95628-10;O95628-3;O95628-2;O95628;O95628-7;O95628-6;O95628-5,CCR4-NOT transcription complex subunit 4,CNOT4,NA,25.7242938,25.65973399,25.1141417,NA,25.13590495,25.35501228,25.0708334
O95630;C9JK83;O95630-2;F5H5B9;C9JEK5;C9JZ93,STAM-binding protein,STAMBP,29.617894,29.59729531,29.5035866,29.27535389,29.54511864,29.56118019,28.84616299,29.64703299
O95671;O95671-2;O95671-3,N-acetylserotonin O-methyltransferase-like protein,ASMTL,28.80057627,29.05292077,29.16717597,29.42918093,27.55288787,28.13388833,28.19896391,29.42774327
O95674;Q92903,Phosphatidate cytidylyltransferase 2,CDS2,30.01664262,30.29329307,30.60805461,30.10262024,30.65018706,30.61016871,31.52915561,30.42822265
O95685,Protein phosphatase 1 regulatory subunit 3D,PPP1R3D,27.09113721,25.93161365,26.75174753,25.73352907,26.53377006,25.78800655,25.92424638,26.0953893
O95696;O95696-2;J3KQ61;H0Y7B4;F6XDC4;E9PSF3;E9PI60;Q9ULD4-3;Q9ULD4-2;Q9ULD4;A8WI62;A8WI61,Bromodomain-containing protein 1,BRD1,NA,NA,25.62870295,25.45782522,NA,26.01539889,26.603711,25.78611286
O95711,Lymphocyte antigen 86,LY86,25.31834503,27.83887989,25.14269761,27.90690069,25.80065032,28.01014638,25.82917204,27.11286993
O95714;A0A3B3IRP6;A0A0J9YVP0,E3 ubiquitin-protein ligase HERC2,HERC2,NA,NA,NA,NA,NA,NA,24.23629863,22.99123534
O95716,Ras-related protein Rab-3D,RAB3D,28.67047148,28.99231853,26.55400115,29.13706861,28.87261618,29.18238806,28.82926279,28.90500765
O95721;C9JAF7,Synaptosomal-associated protein 29;Synaptosomal-associated protein,SNAP29,29.20645918,30.10636945,29.60459491,30.34741595,29.76504377,30.27353209,29.68336366,30.07099202
O95747;C9JIG9;F8WBK9,Serine/threonine-protein kinase OSR1,OXSR1,31.07584442,30.6539492,30.52747871,30.51154441,30.60319809,30.61227971,30.25518633,30.68503605
O95749;C9J7M1;C9J6G3;A0A2R8YE82;O95749-2;A0A2R8Y4N4;A0A2R8Y551;A0A2R8Y7P7,Geranylgeranyl pyrophosphate synthase,GGPS1,27.5202832,26.84732847,27.44616428,26.45172363,26.94681634,26.61343945,26.41178521,26.50613939
O95758-1;O95758-6;O95758;O95758-5;O95758-4;O95758-7;O95758-2;X6R242,Polypyrimidine tract-binding protein 3,PTBP3,30.35268665,30.39079525,30.3372419,30.49371557,30.2754205,30.60946435,30.48039048,30.71120586
O95777;F2Z2Y6;C9JIZ0;C9JNV3,U6 snRNA-associated Sm-like protein LSm8,LSM8,28.65359051,28.49598485,28.51900857,28.6371664,28.67458528,28.74072573,29.00254817,29.11919282
O95782-2;O95782,AP-2 complex subunit alpha-1,AP2A1,33.32897581,32.9366492,33.17518886,33.09458921,33.20804197,33.00182371,33.72902746,33.1047616
O95786;O95786-2;A2A376,Probable ATP-dependent RNA helicase DDX58,DDX58,33.26891172,30.40811228,32.5736654,31.15490664,32.35725655,30.13295739,32.19642163,30.24841575
O95793-2;O95793;Q5JW30;O95793-3;A0A087X1A5;Q5JW28;F6UDC6,Double-stranded RNA-binding protein Staufen homolog 1,STAU1,29.59958484,29.44681503,29.49733709,29.52458613,29.47398141,29.28942843,29.09531887,29.07135012
O95801,Tetratricopeptide repeat protein 4,TTC4,26.61722845,26.67815007,25.59718873,26.40845246,26.22053612,26.02742971,25.66345778,26.62058811
O95807,Transmembrane protein 50A,TMEM50A,26.96146312,27.41013597,26.37623564,26.93539565,26.65184703,27.27399887,27.12139313,26.68805818
O95816;O95816-2,BAG family molecular chaperone regulator 2,BAG2,23.97412536,24.41041098,NA,24.57080073,24.37789098,24.94418194,NA,25.41728519
O95817;C9JFK9,BAG family molecular chaperone regulator 3,BAG3,27.15383217,28.53741844,29.21041291,28.01903141,28.83445615,28.37558954,28.12474892,28.24277194
O95819;A0A0D9SEY1;O95819-3;E7EX83;A0A0D9SG62;H7C0P6;C9J840;H7C3Z6,Mitogen-activated protein kinase kinase kinase kinase 4,MAP4K4,28.28696372,27.37252077,28.33039775,27.31535925,28.31211622,27.20181717,28.03883796,27.24318067
O95822-2;O95822,"Malonyl-CoA decarboxylase, mitochondrial",MLYCD,27.16019489,26.89226561,28.16456502,27.17778662,27.89411759,27.13114277,28.59630028,27.11038279
O95825;A6NMA8;C9JAL0;A6NND8;A6NHJ8;O95825-2;C9JQD0;C9K0F7;F8WF64;C9JZK8;H7C3I5;H7C3S0;A0A0C4DG14,Quinone oxidoreductase-like protein 1,CRYZL1,28.32096329,28.22729159,28.73149772,28.49021887,28.23958899,28.64622623,27.77379318,28.4470713
O95831;O95831-3;O95831-2;E9PMA0;O95831-5;O95831-4;O95831-6,"Apoptosis-inducing factor 1, mitochondrial",AIFM1,32.15466526,32.97387775,32.54344637,32.94851611,32.46238941,33.06552953,33.21439638,33.13520716
O95834;O95834-3;O95834-2;K7EIK7;A0A0C4DGQ7;C9JRL6;K7EKU5;K7EKG3;K7EII6;K7EIM1;K7EQR0;K7ERY9;K7ERR2;K7ELI8;G3V3N9;K7ELB2;G3V500;K7EIZ0;Q05BV3-4;Q05BV3-2;Q6ZMW3-2;Q6ZMW3;Q05BV3;Q05BV3-5,Echinoderm microtubule-associated protein-like 2,EML2,30.76659257,30.29985675,30.21245531,29.9960419,30.34106558,30.25304575,29.98400077,30.21974254
O95848;F8VU44,Uridine diphosphate glucose pyrophosphatase,NUDT14,27.58211774,28.32787365,NA,27.63519534,27.25060838,28.27475428,26.96532192,27.72005853
O95861-4;O95861;O95861-2;A6NF51;O95861-3;F8W1J0;F8VZG4;F8VVW8;F8VRY7,"3(2),5-bisphosphate nucleotidase 1",BPNT1,30.11470767,30.86053101,30.20897222,30.36337954,30.47479377,30.82517347,29.88203698,30.63564512
O95864;O95864-3;O95864-4;O95864-2;E5RGD8;E5RGZ5,Fatty acid desaturase 2,FADS2,26.23923388,28.67323779,26.59704662,30.34233789,27.57217504,28.19943205,27.77987853,28.63432999
O95865;A0A140T971;Q5SSV3;Q5SRR8;H0Y7N1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",DDAH2,29.45499331,30.46441148,27.80439733,30.02670182,28.43221131,30.23649024,28.39063127,30.25236912
O95873,Uncharacterized protein C6orf47,C6orf47,26.70911979,26.31186512,NA,26.10593504,27.25340649,26.84696996,27.27266481,26.66695535
O95881;V9GY50;V9GYV4,Thioredoxin domain-containing protein 12,TXNDC12,31.95560007,31.89200498,31.83473491,31.87865754,31.76200455,31.62771022,32.29038458,31.7032231
O95926;O95926-2,Pre-mRNA-splicing factor SYF2,SYF2,23.0723963,23.21014812,23.17729239,23.34894855,23.25810592,23.40249583,23.62142681,24.27554483
O95976;H3BNM0,Immunoglobulin superfamily member 6,IGSF6,27.70701424,28.5532908,27.02263365,28.80799343,28.0986856,28.49739419,28.31902589,28.26432125
O95989,Diphosphoinositol polyphosphate phosphohydrolase 1,NUDT3,25.87173532,NA,NA,NA,NA,25.59940394,NA,25.12301278
O95998,Interleukin-18-binding protein,IL18BP,NA,23.87801872,NA,NA,NA,23.08959854,NA,23.18322708
O96000;O96000-2;H3BV16;H3BPJ9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,30.43380368,30.79614165,30.93234325,30.92067919,30.58288939,30.87781693,30.87166189,30.98542659
O96005;O96005-4;O96005-3;K7EQQ1;K7EJ16;K7ERL5,Cleft lip and palate transmembrane protein 1,CLPTM1,30.01531381,30.54157833,29.90956394,30.54765788,30.71661228,30.77533263,31.38355235,30.186361
O96006;C9JXP4,Zinc finger BED domain-containing protein 1,ZBED1,26.99862641,NA,25.9881521,26.88808993,26.11961337,27.10199442,26.35272453,27.10189426
O96007,Molybdopterin synthase catalytic subunit,MOCS2,NA,25.90150184,NA,NA,NA,25.30138399,NA,25.6836481
O96008;O96008-2;K7EKG4;K7EJ57,Mitochondrial import receptor subunit TOM40 homolog,TOMM40,30.01451593,29.4944406,31.31494887,29.91897471,30.5869204,29.75960982,31.37036042,29.70292598
O96011;O96011-2;H7C3V6,Peroxisomal membrane protein 11B,PEX11B,29.5948776,29.15990628,29.03645557,29.48279617,29.14267813,29.50888409,29.91313585,28.72351284
O96017-13;O96017-4;O96017;O96017-9;B7ZBF2;H0Y820;B7ZBF7;B7ZBF6;O96017-8;O96017-7;O96017-12,Serine/threonine-protein kinase Chk2,CHEK2,NA,23.86438567,NA,24.05299848,23.79004696,24.24785915,NA,24.33837732
O96019;O96019-2;H7C5S0;O94805;C9JQT2,Actin-like protein 6A,ACTL6A,29.84332006,29.77182722,30.08613355,29.77901747,29.7252369,29.73810208,30.09973923,29.91968515
P00156,Cytochrome b,MT-CYB,24.97175964,24.63610859,24.69561742,24.32512206,24.77026827,23.83026064,25.76774519,23.98163487
P00167;P00167-2;P00167-3;J3KNC7,Cytochrome b5,CYB5A,30.7596257,29.75986376,31.37518558,29.61619448,30.52093883,29.59777482,31.39529728,29.44553298
