Table S4: Log2 LFQ data of proteomes of resting and activated CD8+ T cells. Related to Figure 5A.,,,,,,,,,,,,,,,,,,,,,
Protein.IDs,Protein.names,Gene.names,LFQ.intensity.CD8TCellnaive_01,LFQ.intensity.CD8TCellnaive_03,LFQ.intensity.CD8TCellnaive_04,LFQ.intensity.CD8TCellnaive_05,LFQ.intensity.Naive_T013_CD8_12h,LFQ.intensity.Naive_T016_CD8_12h,LFQ.intensity.Naive_T017_CD8_12h,LFQ.intensity.Naive_T013_CD8_24h,LFQ.intensity.Naive_T014_CD8_24h,LFQ.intensity.Naive_T015_CD8_24h,LFQ.intensity.Naive_T009_CD8_48h,LFQ.intensity.Naive_T013_CD8_48h,LFQ.intensity.Naive_T016_CD8_48h,LFQ.intensity.Naive_T015_CD8_72h,LFQ.intensity.Naive_T016_CD8_72h,LFQ.intensity.Naive_T017_CD8_72h,LFQ.intensity.Naive_T008_CD8_96h,LFQ.intensity.Naive_T016_CD8_96h,LFQ.intensity.Naive_T017_CD8_96h
P02774;P02774-3;P02774-2,Vitamin D-binding protein,GC,30.49581335,26.73840815,27.00603119,26.66587174,30.59814765,30.7369094,29.30059876,31.13301865,30.01863355,30.07966377,33.21388964,30.69478094,30.96739864,28.29403846,30.94370421,29.41280292,30.76864455,30.18269588,29.02857355
P02775,Platelet basic protein;Connective tissue-activating peptide III;TC-2;Connective tissue-activating peptide III(1-81);Beta-thromboglobulin;Neutrophil-activating peptide 2(74);Neutrophil-activating peptide 2(73);Neutrophil-activating peptide 2;TC-1;Neutrophil-activating peptide 2(1-66);Neutrophil-activating peptide 2(1-63),PPBP,28.49453598,25.97388459,26.89238143,25.28004888,26.27440773,27.94809832,28.79113441,27.15826975,28.1525756,27.65914873,30.99449166,27.025171,28.29021977,26.51606512,27.66614272,26.35262352,28.80504344,26.66152913,24.96322842
P02776,"Platelet factor 4;Platelet factor 4, short form",PF4,29.86802984,28.34413842,28.87961452,29.02783569,31.37906512,31.71832827,31.78026974,29.9462865,31.24161325,30.96705502,31.95022082,29.05235076,30.26941344,28.44094772,28.75652731,28.58856539,28.32611701,28.66492291,28.26369465
P02786;G3V0E5;F5H6B1;H7C3V5;F8WBE5,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",TFRC,20.79938598,23.34177397,22.16502719,22.82735589,28.17940117,28.0431216,28.4319723,28.98446262,29.46608546,28.88893184,30.15134212,30.60337498,29.6357143,29.94865534,30.05232484,30.19612846,31.0788371,29.74197954,30.23169229
P02787;J3KN47;H7C5E8;F8WCI6;C9JB55;F8WEK9;C9JVG0;CON__Q2HJF0;F8WC57,Serotransferrin,TF,30.38627912,29.34189271,28.42854215,28.52342747,30.95926727,30.45071336,29.83404921,30.63547214,30.588619,30.28647908,34.09961384,30.80054541,31.14649476,31.99341226,30.7868264,32.23180672,32.69847011,30.39652267,31.48140136
P02790,Hemopexin,HPX,28.59988629,27.296141,26.82177204,25.20828855,29.211272,28.38405693,28.7829116,28.77743493,28.59494877,28.80888338,32.30799245,27.91928735,29.02398217,26.38671493,28.7220474,28.06609757,29.70421305,28.17383761,28.0456232
P02792,Ferritin light chain,FTL,NA,NA,NA,NA,28.00945243,28.10384605,27.64258158,28.18229334,27.84068161,28.16609863,28.65266776,27.73117399,27.19966606,29.05757604,28.4687093,28.01584548,28.4537185,27.82231924,28.31189975
P02794;G3V192;G3V1D1;E9PRK8;E9PKY7;E9PQR3;E9PPQ4;E9PKM5;E9PK45,Ferritin heavy chain;Ferritin,FTH1,22.34033477,21.68144604,23.1173717,22.34613712,27.66722613,28.51694428,28.2986338,27.80421267,27.62345164,27.41981041,29.02554066,27.68478532,26.82019007,29.44468422,28.05196198,28.67226007,28.26579715,28.24286278,28.43213164
P02795;H3BSP9,Metallothionein-2,MT2A,20.92361185,21.35837004,23.1690864,23.66253452,23.42969176,23.41956934,23.87661437,23.4221387,25.31080829,24.04376826,28.22875999,25.18563345,26.95215966,27.08395483,25.46450886,26.90023536,27.59348915,25.782293,27.18053976
P03886,NADH-ubiquinone oxidoreductase chain 1,MT-ND1,26.94156509,25.09780196,25.07238812,26.11265124,25.70482648,26.17495204,25.82133413,25.37815565,25.46861609,25.89721435,23.77705862,23.20009279,25.13414301,NA,25.23344882,NA,22.73877921,24.98780525,24.74847542
P03891,NADH-ubiquinone oxidoreductase chain 2,MT-ND2,NA,NA,NA,NA,24.76146886,23.80015657,23.39231113,25.50118118,26.32709414,24.32889238,22.24583005,25.0847659,24.46494503,20.28590788,24.53563989,NA,21.63900501,24.93188412,23.18972564
P03897,NADH-ubiquinone oxidoreductase chain 3,MT-ND3,22.54018859,24.04643529,24.13179041,23.83190408,23.19649527,22.54073253,22.01651723,23.62299107,23.77354169,23.16610055,NA,24.05655834,23.10838599,NA,23.08650816,NA,NA,22.77836273,NA
P03905,NADH-ubiquinone oxidoreductase chain 4,MT-ND4,27.4563845,27.81151934,28.123072,28.06691874,27.38738893,26.66180093,27.32688848,26.06188171,26.47091352,27.03779124,22.53136242,26.53148141,26.18126041,20.41017804,27.22839303,22.49301691,22.05042661,25.0238183,24.72473616
P03915,NADH-ubiquinone oxidoreductase chain 5,MT-ND5,27.53549158,27.86159621,28.02236908,27.67539318,26.76736635,26.29166943,26.98402794,26.18759794,26.93528323,26.52492234,25.07226544,26.31463344,25.68912526,24.82628934,26.81470058,22.81626416,25.68666979,25.98324519,23.91679574
P03923,NADH-ubiquinone oxidoreductase chain 6,MT-ND6,NA,22.11419731,21.4943849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P03928,ATP synthase protein 8,MT-ATP8,26.54674942,26.16555247,26.29838034,26.62366094,24.1271524,26.53569921,22.96012004,23.60918956,24.77550218,26.72715371,24.17744448,22.70948269,24.4429101,24.90053481,24.33456354,26.57467436,NA,23.93571037,23.52743023
P04003;A6PVY5;F2Z2V7;CON__Q28065,C4b-binding protein alpha chain,C4BPA,30.52934181,29.23876938,29.5995671,27.97404876,31.88674622,31.11638194,31.43569235,31.64911648,30.41114676,30.0457013,35.01071997,30.86798567,31.54908195,30.79257791,31.3762729,29.77881388,32.62881852,30.59868011,29.60674937
P04004;CON__Q3ZBS7;H0YJW9;F5GX75,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,VTN,31.74230085,29.51293865,29.86235025,28.59669126,31.37306035,30.96161491,31.21656613,31.17967404,31.06945628,30.38195505,33.43265934,30.36463233,30.86474283,28.91282188,30.00798336,28.83026064,30.77140222,29.45687403,28.7164324
P04035;P04035-2;P04035-3;H0Y8F6;H0Y8K6,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,NA,NA,NA,NA,NA,24.68045911,23.17234082,NA,24.06414541,NA,NA,23.6156018,23.25086857,NA,NA,NA,NA,NA,24.357632
P04040,Catalase,CAT,30.23363624,29.93943681,30.15822159,29.96512923,29.97486932,30.03131086,29.70925129,29.91285042,29.69539507,29.63804732,29.80473581,29.0323623,29.64823372,29.34388436,29.48435292,29.36902937,29.43037789,29.66905254,29.70510343
P04066,Tissue alpha-L-fucosidase,FUCA1,25.02702889,25.7073566,25.79827877,26.81384479,25.48790601,26.36789701,26.20624024,25.62159449,25.77575333,26.41002272,24.86528283,23.56220702,25.46357376,22.88104747,24.5239658,23.07781647,23.11811667,24.13938335,23.35756489
P04075;J3KPS3;H3BQN4;H3BPS8;H3BUH7;H3BR04;H3BMQ8;H3BU78;H3BR68,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,ALDOA,33.34095951,33.22561488,33.20463565,33.6213482,32.98950954,33.1281707,33.33404774,33.18696603,33.15386538,33.13490128,33.67208721,33.73509431,33.22504022,34.64688712,33.51805655,34.8914347,34.89405795,34.07159946,34.54719821
P04080,Cystatin-B,CSTB,31.08264855,31.24711442,30.82721958,31.21922324,31.25771713,31.10243252,31.07940946,31.15550993,31.16074789,30.77752899,30.21743312,30.37834173,30.22319975,30.9698017,30.63018643,31.16901756,30.45061504,30.54471342,31.64250412
P04083;Q5T3N1;Q5T3N0,Annexin A1,ANXA1,32.44040324,32.71957313,32.49931079,32.57043433,32.8311332,32.44941017,32.98739327,32.63124946,32.3728269,32.63467187,31.37673865,31.52864343,31.19460298,31.33089991,30.83860944,31.55362039,30.43718166,30.69925647,31.56995923
P04114;A8MUN2,Apolipoprotein B-100;Apolipoprotein B-48,APOB,33.56433662,29.75692491,28.76790302,31.18819007,32.48709238,32.13830824,31.9186549,32.08998892,33.048887,32.80597365,32.73870208,31.62727536,32.30801959,29.59745516,31.8672493,29.13305541,29.83609783,31.68816659,29.76059357
P04150;P04150-8;P04150-10;P04150-2;P04150-3;P04150-5;P04150-9;P04150-6;P04150-7;B7Z7I2;D6RDA9;Q3MSN4;P08235-2;B0ZBF8,Glucocorticoid receptor,NR3C1,25.46185785,26.01307864,25.4385703,26.04380997,26.42470349,26.84637225,26.89573613,26.71894879,26.86076779,26.87103025,26.63947982,26.56604567,27.05724033,26.29491489,26.44729994,26.11935611,25.22003788,26.05310209,25.42595218
P04179;B3KUK2;P04179-2;F5H4R2;F5GYZ5;F5H3C5;B4E3K9;G8JLJ2;G5E9P6;F5GXZ9,"Superoxide dismutase [Mn], mitochondrial;Superoxide dismutase",SOD2,31.01949544,30.8668073,30.81199391,31.22129931,30.19577657,30.53380347,30.579027,30.15472561,29.94990786,30.17724011,30.37813498,29.66566847,29.94990786,29.36206294,29.69668888,29.7164324,29.72486299,29.42266004,29.01871313
P04180;J3QSE5;J3QKT0;J3QKS8;I3L1Q6;I3L0J6,Phosphatidylcholine-sterol acyltransferase,LCAT,25.90120259,NA,NA,19.94062904,24.70012345,24.83508894,23.44884426,24.65518174,25.0680881,23.5869204,29.29581268,22.02357299,25.619637,22.81211697,23.26441969,21.85961668,24.57432789,NA,NA
P04181;P04181-2,"Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form",OAT,27.45990546,27.12257842,27.44892301,27.25637917,27.76528094,28.40653182,28.38845684,28.54767627,28.29360004,28.82012919,28.65058084,28.96375208,29.26854368,28.97254317,29.24927512,29.09252404,29.25615418,29.13929064,29.13994926
P04183;K7ERV3;K7ES52;K7ERJ1;K7ENW5,"Thymidine kinase, cytosolic;Thymidine kinase",TK1,NA,NA,NA,NA,22.35533496,20.56467424,21.13658566,23.12935535,22.58751567,18.77072196,26.06025377,28.66421088,27.33483629,29.76450604,29.02258074,30.4793307,29.338135,28.78945628,29.12010796
P04196,Histidine-rich glycoprotein,HRG,26.97169387,24.46662616,24.87178231,24.56121661,27.85138534,26.92354384,27.21844972,27.16901756,26.55255079,27.13682422,31.06791891,24.04109629,27.24018064,23.41041098,26.16451707,23.57542476,28.44884426,24.92696263,21.42567692
P04208;P01700,Ig lambda chain V-I region WAH;Ig lambda chain V-I region HA,,NA,NA,NA,NA,NA,NA,21.22352569,NA,NA,22.48880709,27.38599125,NA,22.02863994,NA,23.23227804,NA,NA,22.34948858,NA
P04217;M0R009;P04217-2,Alpha-1B-glycoprotein,A1BG,25.31855191,23.90646493,23.62220915,23.63632989,26.53473496,26.68565435,25.94167702,26.76281247,25.55215498,26.73956741,29.71584351,25.28008429,26.43722136,23.94726238,26.1543345,24.98888886,26.95471301,24.78696034,25.29309131
P04220,Ig mu heavy chain disease protein,,23.53824767,NA,NA,22.36866311,26.21904086,26.35309485,25.29666616,26.56861361,25.7956061,26.20329303,27.93139949,24.84335601,26.08371142,NA,26.3671805,24.38343905,26.39129525,24.56523227,24.4211115
P04233-2;P04233;H0YBZ2;E7EQJ3;H0YBZ8;E7ESL3;P04233-3;E7ER71,HLA class II histocompatibility antigen gamma chain,CD74,26.42579215,25.80208125,27.52596783,26.6741138,27.50400354,26.90953533,26.57744312,28.17445684,28.30647763,27.68872519,28.19098231,28.70223246,28.04103361,28.20987863,27.37218862,27.54657281,27.90964977,27.90821861,27.87882561
P04234;P04234-2;H0YE18;E9PMT5,T-cell surface glycoprotein CD3 delta chain,CD3D,28.64605452,29.08942074,29.24093123,29.26006399,28.03627215,28.07694034,27.14763535,27.40592349,27.7674295,28.05801493,27.46341786,26.44253049,27.65560486,27.67370955,27.26382895,27.7081332,26.91319293,28.11431052,27.77064635
P04264;CON__P04264,"Keratin, type II cytoskeletal 1",KRT1,33.82543887,33.05237343,31.83770757,32.18041527,32.91580899,32.54694532,31.02617413,30.77729382,32.93022951,33.08268027,34.79759174,32.01051991,31.79141391,29.5812918,31.36113223,30.48423767,32.01391723,29.69218873,29.33114558
P04271;A8MRB1,Protein S100-B,S100B,30.20501452,29.96925279,27.46146758,30.64091091,30.35363334,28.92184275,30.27508743,30.2525947,30.36181202,30.15798076,29.76768206,29.53745547,27.92155904,27.43292809,26.71227236,27.45364002,26.48051375,26.27127608,26.71095963
P04275,von Willebrand factor;von Willebrand antigen 2,VWF,26.24283553,20.06644662,NA,NA,23.34827322,23.52790743,22.26031888,24.48068322,25.92694002,23.84594174,27.52103246,24.90843624,22.97566538,NA,23.72213211,22.12455174,22.37785127,23.42572813,21.69625442
P04350;M0R278;M0QY85;M0R0X0;M0QY37;M0QX14;M0QZL7;M0R1I1,Tubulin beta-4A chain,TUBB4A,24.70693523,24.80390486,23.70059973,25.23575102,25.95218189,25.42300483,26.24050822,25.82386244,24.949535,25.24735214,26.07298092,25.24125409,24.63743592,25.70004405,25.33681217,25.54153033,24.83262853,25.11103981,25.32711127
P04406,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,34.68483756,34.44714522,34.20339631,34.56762669,34.38271527,34.34724433,34.24083174,34.5130634,34.46708697,34.68149036,34.66781193,34.5831809,34.71661228,35.51679521,34.8378955,35.7464514,35.28230061,34.98158724,35.83831827
P04430,Ig kappa chain V-I region BAN,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.43644316,NA,NA,NA,NA,NA,NA,NA,NA
P04431,Ig kappa chain V-I region Walker,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.38041667,22.81360507,NA,NA,NA,NA,NA,NA,NA,NA
P04433,Ig kappa chain V-III region VG,,NA,NA,NA,NA,25.36689713,NA,NA,23.86910129,24.85979675,NA,27.42981944,NA,24.7612152,NA,NA,NA,25.15942514,23.12076058,22.68183204
P04435,T-cell receptor beta chain V region CTL-L17,TCRB,21.88699297,21.73388588,22.43361906,22.13304561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P04436,T-cell receptor alpha chain V region HPB-MLT,,20.92245084,21.53957346,22.39280898,22.64515442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P04437,T-cell receptor alpha chain V region CTL-L17,TCRA,23.69274745,22.64724233,NA,NA,NA,NA,21.39330666,NA,21.00401742,NA,NA,NA,NA,21.78775752,NA,22.69795171,NA,NA,21.48674666
P04439;Q5SRN5;Q5SRN7,"HLA class I histocompatibility antigen, A-3 alpha chain",HLA-A,24.82104211,25.79736369,27.25340649,26.28709586,NA,27.58892275,19.3195266,NA,28.38590899,NA,28.66050944,NA,27.8979875,NA,27.4184438,20.74829114,29.66560071,27.03695332,NA
P04632;K7ELJ7;K7EKD8;K7EIV0;K7EM73;K7EP80;K7ES82;K7EK10;K7EMQ1;Q96L46;K7ES78,Calpain small subunit 1,CAPNS1,30.88409143,31.26902322,30.98196143,30.48337294,30.39233161,30.43479803,30.65889345,30.3545794,30.35604982,30.3223824,28.95485165,29.81392122,29.91954309,29.71938953,29.74607093,30.06419682,28.62582197,29.77876689,29.86060501
P04732;CON__P67983;P07438;H3BU80;Q93083;P04732-2,Metallothionein-1E,MT1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8095923,16.88393196,17.241257,17.02745249,17.66885729,17.54215525,18.18741974,17.91654429
P04792;F8WE04;C9J3N8,Heat shock protein beta-1,HSPB1,25.01005032,25.14771298,24.73794419,24.68795142,24.85310011,24.51647096,24.20389042,25.80528335,25.86804162,25.88072994,27.57830727,27.46138952,26.73078542,29.12129431,27.48991275,29.35684743,28.34053512,25.71531331,28.14642192
P04818;Q8WYK3;Q8WYK4,Thymidylate synthase,TYMS;TS,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.17216378,28.47934998,28.87824095,28.04009303,29.83519438,29.63483196,29.66488901,30.06368267,29.81521993,29.64333877
P04843;B7Z4L4;F8WF32,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,31.31861655,30.99239958,31.17765595,30.99631133,30.85177253,30.87964373,30.95324261,30.9589217,30.9699389,31.23455014,30.28548727,31.09156601,30.67446743,29.29436718,31.42392251,29.25487108,29.34045023,31.36666581,30.11842564
P04844;P04844-2;Q5JYR7;Q5JYR4;F2Z3K5;H0Y5M1;Q5JYR3,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,RPN2,30.87254279,30.9294537,31.01797022,30.76105348,30.22043464,30.65540014,30.32967092,30.31343593,30.35835746,30.73964788,29.28272867,30.22653387,30.02234262,28.97907424,30.79884731,28.17340875,28.62264903,30.52561319,30.07380329
P04899;P04899-4;B4E2X5;P04899-3;P04899-2;B3KTZ0;F5GZL8;P09471-2;P09471;P19087;A8MTJ3;P11488;A2A2R6;H3BTM2;F8WE78,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,32.62309401,32.51552102,32.48024601,32.04641707,31.85374411,32.21844394,31.95895626,31.81428803,31.86846411,32.12287459,31.34397964,31.29838253,31.50279978,30.85652949,31.85281446,30.82729531,31.35725655,31.92885392,31.36003343
P04921;P04921-2,Glycophorin-C,GYPC,24.59798433,24.24901736,25.11350596,24.48480618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P05089;P05089-2;P05089-3,Arginase-1,ARG1,26.19287371,20.82671605,21.53777388,20.19628514,NA,NA,NA,NA,NA,NA,NA,NA,19.66290824,NA,NA,NA,NA,NA,NA
P05107;A8MYE6;J3KNI6;E7EVZ9;E5RK25;E5RIG7;E5RHE6;E5RK54;E5RHT0;E5RFI0;E5RIE4;A8MVG7,Integrin beta-2;Integrin beta,ITGB2,30.33521975,30.57911694,30.83386831,30.43866944,29.82523414,29.87038363,29.64759918,30.05491403,30.25586165,30.07699129,29.80147081,30.11644391,30.07367563,29.22637309,30.75326284,30.19706641,31.00998627,31.09131379,31.11129109
P05109,"Protein S100-A8;Protein S100-A8, N-terminally processed",S100A8,23.95046975,23.66546517,22.95086128,23.78805635,NA,NA,23.34516265,NA,NA,23.58875123,24.74888484,NA,NA,NA,NA,NA,NA,NA,NA
P05114;A6NL93;A6NEL0;F2Z2W6;F2Z2Y5;H7BXJ5,Non-histone chromosomal protein HMG-14,HMGN1,26.93021541,27.06321978,28.34798611,28.39901109,25.21356349,25.53830689,25.78845469,24.42438314,24.73520893,24.42495972,26.42782318,25.69657282,24.73148477,25.93728293,24.79163747,26.82274469,25.84002124,25.504337,25.62603093
P05141;Q9H0C2,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,30.4697575,29.91456214,30.25631168,30.11656785,30.31635232,30.42211864,30.09559554,30.48221917,30.24807639,30.53778869,29.61030954,30.6346935,31.01018641,30.49771777,31.26310137,29.98522299,30.01051991,31.03524979,29.90181829
P05154;G3V264;G3V2M1;G3V5Q9;G3V482;G3V265;G3V4B4;G3V3F5;G3V345,Plasma serine protease inhibitor,SERPINA5,NA,NA,NA,NA,NA,NA,NA,NA,22.9662421,NA,24.56197404,NA,NA,NA,NA,NA,NA,23.64174132,NA
P05160,Coagulation factor XIII B chain,F13B,26.52629625,24.08634618,24.11362518,21.7287476,25.39822831,24.40243077,23.93048614,24.51285955,24.38422989,24.80321511,29.98739327,20.12855323,24.11426087,22.78296782,22.4230369,22.44098573,26.82359523,21.25257304,22.44536248
P05161,Ubiquitin-like protein ISG15,ISG15,26.13233969,26.68338039,26.14877989,27.20564382,26.83665467,26.39213095,24.84090966,26.40000526,26.25747661,25.66746978,26.77756034,26.24610197,25.78862893,27.51502748,26.28520944,27.92874805,27.2925473,27.7134528,28.82244081
P05164;P05164-2;P05164-3;J3QSF7,Myeloperoxidase;Myeloperoxidase;89 kDa myeloperoxidase;84 kDa myeloperoxidase;Myeloperoxidase light chain;Myeloperoxidase heavy chain,MPO,24.85338571,23.42290862,23.41815424,24.11330723,23.66957974,24.64251272,25.33919324,21.61965939,22.93064856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P05165;P05165-2;P05165-3;H0Y5U0;Q5JTW6;Q5JVH2;H0Y4B9,"Propionyl-CoA carboxylase alpha chain, mitochondrial",PCCA,26.36724716,27.56797568,28.34155343,27.52005835,26.48900929,26.74791227,27.62742323,27.02981125,26.21959485,26.7134528,24.61890926,25.68840506,26.1521307,24.72411162,26.44411152,25.05005289,23.48738472,26.41751055,25.74770744
P05198;G3V4T5;H0YJS4,Eukaryotic translation initiation factor 2 subunit 1,EIF2S1,30.22630418,30.33617797,30.33500673,30.32870838,30.37160717,30.47227783,30.26315735,30.62374815,30.73206407,30.69145675,30.33660364,31.23386477,30.60452422,30.99334477,30.90605486,30.88794473,30.33649723,30.3595099,30.93775437
P05204,Non-histone chromosomal protein HMG-17,HMGN2,26.27921651,26.33237971,26.53458655,26.52001338,23.55496725,23.95881111,24.04259988,23.00204377,23.14250286,23.45625915,23.25378517,24.53569921,23.1926179,23.36332523,24.55537692,24.22758539,21.93991203,25.11723693,23.1178631
P05362;E7ESS4;K7EKL8,Intercellular adhesion molecule 1,ICAM1,NA,NA,NA,NA,23.81499389,24.06010944,24.82449383,23.05996096,25.47586848,24.93589018,25.38046952,26.05295703,23.41196296,25.46372965,25.29925414,26.10735262,25.89880636,24.12817561,25.08590064
P05386,60S acidic ribosomal protein P1,RPLP1,31.53264291,31.71681668,31.92528538,31.76477493,31.88376379,31.60009904,31.36405827,32.28427414,32.23577727,32.27275378,33.03914529,31.41930813,31.92475465,33.05387891,31.89319913,32.9456588,33.10699337,31.48404555,33.13124091
P05387;H0YDD8,60S acidic ribosomal protein P2,RPLP2,31.68064187,32.07864627,32.02343366,32.08334622,32.22575851,32.21907896,31.38935983,32.71951193,32.53187643,32.75918915,32.66744187,31.97592853,32.40319298,33.06782277,32.34387377,33.09656975,33.08863123,32.22409152,32.67678069
P05388;Q3B7A4;F8VWS0;F8VW21;F8VU65;F8VZS0;F8VPE8;G3V210;F8VQY6;F8VRK7;Q8NHW5;F8VS58;F8VWV4;F8W1K8,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,RPLP0;RPLP0P6,32.22054996,32.537673,32.3719706,32.43109061,32.63172648,32.6401783,32.70839224,33.05591609,32.90420738,33.2478501,32.58035305,33.10088293,32.87607933,33.33084649,32.73713109,33.48255578,32.83680513,32.6789224,33.34902555
P05412,Transcription factor AP-1,JUN,NA,25.57568442,24.29761096,22.81162713,23.39806518,22.81770897,23.38218599,NA,NA,23.5919496,NA,22.82008779,NA,24.59815475,NA,23.93301054,24.37192284,24.66871449,23.69540503
P05423;E5RHT4;E7EQ68,DNA-directed RNA polymerase III subunit RPC4,POLR3D,24.3860077,24.57911334,24.75557262,25.12028598,24.80420036,25.23450902,25.69117717,25.54182569,25.08160014,25.81120083,25.17979978,26.12396003,25.79679457,26.1814879,25.7959776,25.34611006,24.89841429,25.23308306,25.06262295
P05455;E9PFH8;E7ERC4;E9PGX9;E9PFL9,Lupus La protein,SSB,31.3938152,31.76196493,31.41538435,31.40070159,31.25327123,31.42822265,31.20022752,31.27675202,31.13791143,31.23785815,31.15085812,30.90519419,31.15073709,30.42652413,30.56973293,29.79679147,30.8426609,30.52533316,30.0123861
P05534,"HLA class I histocompatibility antigen, A-24 alpha chain",HLA-A,30.39835881,29.94419311,30.39805295,30.55837271,30.70997429,30.75764032,31.46849568,30.13013639,31.14114378,29.4275235,30.14600912,28.42470349,30.03878564,28.2570989,30.39601221,30.22481029,29.98888345,30.15532897,30.65463218
P05546;CON__ENSEMBL:ENSBTAP00000018574,Heparin cofactor 2,SERPIND1,29.30977671,26.4928336,25.88985447,27.28056223,29.40322346,29.06817525,29.12716224,29.18139312,29.90626995,29.2048047,30.32742398,28.45524813,29.1942742,26.73052632,28.55501115,26.40449493,27.23077659,28.16091615,26.64251272
P05556;P05556-5;P05556-2;P05556-4;P05556-3;H7C4N8;C9JPK5;E7ERX5;Q5T3E6;E9PLR6;E7EUI6;E7EQW5,Integrin beta-1,ITGB1,26.73000797,25.86322799,25.70226549,25.45629049,25.78494051,25.75943839,25.58003401,25.80972986,26.11402252,26.37295245,26.56469458,26.36334194,26.11682065,24.36098368,26.10892831,25.27230885,26.30335392,25.64342135,25.75103239
P05771-2;P05771;I3L1Z0;H3BV73;I3L148,Protein kinase C beta type,PRKCB,29.83967593,29.92874805,29.63920379,29.79702348,29.92987692,29.95795368,30.16470887,29.56813882,29.73765091,29.93522702,28.97454115,29.39274103,29.79000034,28.32302699,29.3364121,27.35220255,28.79720906,29.33026951,28.26619941
P08590;P05976;P05976-2,"Myosin light chain 3;Myosin light chain 1/3, skeletal muscle isoform",MYL3;MYL1,28.69305332,27.9864713,29.3075854,28.96030346,28.51589224,28.28303789,28.07469664,28.49052493,28.74291115,27.81457836,27.79866194,26.94904513,24.70334853,29.28040736,27.0342267,26.81262133,28.26945803,25.12222293,28.63412223
P06127;F5GYK3,T-cell surface glycoprotein CD5,CD5,29.89488373,29.99077781,30.51455729,29.77226783,29.30129677,29.72926251,29.42784316,29.5644184,29.91213661,30.13062739,30.06971235,30.07928229,30.00074978,27.85019332,29.96705502,28.78397323,29.04980888,29.97021326,29.49476484
P06132;H0Y5R6;Q5T446,Uroporphyrinogen decarboxylase,UROD,26.69975289,26.55616666,26.51353738,27.20172371,27.52991889,27.69059121,27.59149313,28.0450503,27.79122759,28.41256067,28.20503784,28.48868759,28.71787087,29.35213939,28.83007927,29.63292702,29.04741855,28.98514154,29.4469136
P06239;P06239-3;Q573B4;P06239-2;E9PJ92;E9PAP0;F8W6B9;E9PKQ8,Tyrosine-protein kinase Lck,LCK,31.77501859,31.49562277,31.7018195,31.5137576,31.0011526,31.41855439,31.52789811,30.91925893,31.15327651,31.39038527,30.57641627,30.78978274,30.95122879,29.89365482,31.09948843,30.28107097,30.48864929,31.16626627,30.86178845
P06241-2;P06241;P06241-3;Q5R3A8;B3KPS6;E5RFS5;P07947;J3QRU1;E5RH71;E5RIX5;E5RGT0;E5RGM6;E5RI25;E5RFM0;E5RK23;E5RFM4;E5RHF7;E5RHX7;P07948;P08631;P09769;P07948-2;E5RJX7;E5RFM6;Q5TGY6;P08631-3;P08631-2;A8K4G3;P08631-4;H0Y3C5;J3KPD6,Tyrosine-protein kinase Fyn,FYN,27.42302086,27.58985147,28.23685514,27.07091527,27.87718798,28.20265804,28.02596301,28.46921408,28.23804045,28.60794882,28.13158437,28.42898135,28.69434923,26.79699255,28.04661222,26.96388986,27.48400712,27.34333375,27.63934181
P06280,Alpha-galactosidase A,GLA,24.39773886,25.67502968,25.6957767,25.11195516,25.53323538,25.32611701,25.68107602,25.56363316,25.34590709,26.046123,25.92415575,25.43637961,26.22271163,27.10309568,26.57014929,26.96002722,26.29963845,26.23706492,26.56300758
P06310,Ig kappa chain V-II region RPMI 6410,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.05920185,NA,NA,NA,NA,NA,24.35937585,NA,NA
P06311,Ig kappa chain V-III region IARC/BL41,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.72608841,NA,NA,NA,NA,NA,22.2377433,NA,NA
