biosequence_name,biosequence_accession,biosequence_gene_name,is_covering,pct_coverage,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,n_distinct_synpeptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name,gene
P12821,P12821,NA,C,NA,canonical,1,0,10746,3.872,145,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Angiotensin-converting enzyme isoform Somatic-1 \GName=ACE \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1306 \SV=1 \EV=254 \PE=1 \ModResPsi=(157|MOD:00798|half cystine)(165|MOD:00798|half cystine)(757|MOD:00798|half cystine)(763|MOD:00798|ha,Homo sapiens,ACE
P05154,P05154,NA,C,NA,canonical,1,0,65361,67.448,146,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Plasma serine protease inhibitor isoform Iso 1 \GName=SERPINA5 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=406 \SV=3 \EV=227 \PE=1 \ModRes=(39||O-linked (GalNAc...) threonine)(249||N-linked (GlcNAc...) asparagine)(262||N-linked (GlcNAc...),Homo sapiens,SERPINA5
P49908,P49908,NA,C,NA,canonical,1,0,48831,58.347,147,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Selenoprotein P isoform Iso 1 \GName=SELENOP \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=381 \SV=3 \EV=173 \PE=1 \ModResPsi=(266|MOD:00046|O-phospho-L-serine) \ModRes=(46||N-linked (GlcNAc...) asparagine)(59||Selenocysteine)(83||N-linked (G,Homo sapiens,SELENOP
O43790,O43790,NA,C,NA,canonical,1,0,9309,6.604,147,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,"nP20K \PName=Keratin, type II cuticular Hb6 isoform Iso 1 \GName=KRT86 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=486 \SV=1 \EV=180 \PE=1 \ModResPsi=(212|MOD:00134|N6-glycyl-L-lysine) \VariantSimple=(2|A)(2|S)(3|W)(3|Y)(4|E)(4|R)(4|V)(5|C)(5|Y)(6|H)(7|",Homo sapiens,KRT86
Q02985,Q02985,NA,C,NA,canonical,1,0,95776,127.903,147,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Complement factor H-related protein 3 isoform Iso 1 \GName=CFHR3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=330 \SV=2 \EV=175 \PE=1 \ModResPsi=(23|MOD:00798|half cystine)(72|MOD:00798|half cystine)(55|MOD:00798|half cystine)(83|MOD:00798|h,Homo sapiens,CFHR3
P11047,P11047,NA,C,NA,canonical,1,0,8289,2.413,148,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Laminin subunit gamma-1 isoform Iso 1 \GName=LAMC1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1609 \SV=3 \EV=235 \PE=1 \ModResPsi=(286|MOD:00798|half cystine)(295|MOD:00798|half cystine)(288|MOD:00798|half cystine)(305|MOD:00798|half cysti,Homo sapiens,LAMC1
P10586,P10586,NA,C,NA,canonical,1,0,12392,2.758,150,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Receptor-type tyrosine-protein phosphatase F isoform Iso 1 \GName=PTPRF \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1907 \SV=2 \EV=243 \PE=1 \ModResPsi=(54|MOD:00798|half cystine)(107|MOD:00798|half cystine)(156|MOD:00798|half cystine)(207|,Homo sapiens,PTPRF
Q6EMK4,Q6EMK4,NA,C,NA,canonical,1,0,38386,34.858,151,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Vasorin isoform Iso 1 \GName=VASN \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=673 \SV=1 \EV=164 \PE=1 \ModResPsi=(409|MOD:00798|half cystine)(420|MOD:00798|half cystine)(414|MOD:00798|half cystine)(430|MOD:00798|half cystine)(432|MOD:00798|,Homo sapiens,VASN
P14625,P14625,NA,C,NA,canonical,1,0,18278,9.88,151,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Endoplasmin isoform Iso 1 \GName=HSP90B1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=803 \SV=1 \EV=247 \PE=1 \ModResPsi=(30|MOD:00047|O-phospho-L-threonine)(42|MOD:00046|O-phospho-L-serine)(64|MOD:00046|O-phospho-L-serine)(75|MOD:00134|N6-g,Homo sapiens,HSP90B1
P13533,P13533,NA,C,NA,canonical,1,0,2859,0.624,152,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,"nP20K \PName=Myosin-6 isoform Iso 1 \GName=MYH6 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1939 \SV=5 \EV=222 \PE=1 \ModResPsi=(129|MOD:00083|N6,N6,N6-trimethyl-L-lysine)(379|MOD:00047|O-phospho-L-threonine)(417|MOD:00046|O-phospho-L-serine)(1139|MOD:0",Homo sapiens,MYH6
Q9NY65,Q9NY65,NA,C,NA,canonical,1,0,7630,7.218,153,NA,NA,NA,NA,NA,NA,NA,NA,P68366,2072,74,NA,NA,NA,nP20K \PName=Tubulin alpha-8 chain isoform Iso 1 \GName=TUBA8 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=449 \SV=1 \EV=193 \PE=1 \ModResPsi=(437|MOD:00047|O-phospho-L-threonine) \VariantSimple=(2|L)(2|Q)(2|W)(5|V)(7|D)(8|Y)(9|L)(9|M)(11|E)(12|E)(12|V)(,Homo sapiens,TUBA8
O95810,O95810,NA,C,NA,canonical,1,0,7141,8.106,154,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Caveolae-associated protein 2 isoform Iso 1 \GName=CAVIN2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=425 \SV=3 \EV=159 \PE=1 \ModResPsi=(2|MOD:00055|N-acetylglycine)(16|MOD:00046|O-phospho-L-serine)(24|MOD:00046|O-phospho-L-serine)(25|MOD:,Homo sapiens,CAVIN2
P01889,P01889,NA,C,NA,canonical,1,0,9202,10.995,156,NA,NA,NA,NA,NA,NA,NA,NA,P04439,1043,16991,NA,NA,NA,"nP20K \PName=HLA class I histocompatibility antigen, B alpha chain isoform Iso 1 \GName=HLA-B \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=362 \SV=3 \EV=217 \PE=1 \ModResPsi=(92|MOD:00134|N6-glycyl-L-lysine)(125|MOD:00798|half cystine)(188|MOD:00798|half",Homo sapiens,HLA-B
P11021,P11021,NA,C,NA,canonical,1,0,34445,23,156,NA,NA,NA,NA,NA,NA,NA,NA,P11021,1212,212,NA,NA,NA,nP20K \PName=Endoplasmic reticulum chaperone BiP isoform Iso 1 \GName=HSPA5 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=654 \SV=2 \EV=244 \PE=1 \ModResPsi=(64|MOD:00046|O-phospho-L-serine)(85|MOD:00047|O-phospho-L-threonine)(86|MOD:00046|O-phospho-L-ser,Homo sapiens,HSPA5
Q99715,Q99715,NA,C,NA,canonical,1,0,2813,0.399,156,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Collagen alpha-1(XII) chain isoform Iso 1 \GName=COL12A1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=3063 \SV=2 \EV=206 \PE=1 \ModResPsi=(778|MOD:00047|O-phospho-L-threonine)(2861|MOD:00046|O-phospho-L-serine)(2864|MOD:00046|O-phospho-L-ser,Homo sapiens,COL12A1
P33151,P33151,NA,C,NA,canonical,1,0,39971,27.498,156,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Cadherin-5 isoform Iso 1 \GName=CDH5 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=784 \SV=5 \EV=200 \PE=1 \ModRes=(61||N-linked (GlcNAc...) (complex) asparagine)(61||N-linked (GlcNAc...) asparagine)(112||N-linked (GlcNAc...) (complex) aspara,Homo sapiens,CDH5
Q14515,Q14515,NA,C,NA,canonical,1,0,24028,15.586,157,NA,NA,NA,NA,NA,NA,NA,NA,Q14515,2385,49,NA,NA,NA,nP20K \PName=SPARC-like protein 1 isoform Iso 1 \GName=SPARCL1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=664 \SV=2 \EV=186 \PE=1 \ModResPsi=(56|MOD:00047|O-phospho-L-threonine)(59|MOD:00046|O-phospho-L-serine)(60|MOD:00047|O-phospho-L-threonine)(64|MO,Homo sapiens,SPARCL1
P00451,P00451,NA,C,NA,canonical,1,0,4352,0.778,157,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Coagulation factor VIII isoform Iso 1 \GName=F8 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=2351 \SV=1 \EV=267 \PE=1 \ModResPsi=(172|MOD:00798|half cystine)(198|MOD:00798|half cystine)(267|MOD:00798|half cystine)(348|MOD:00798|half cystine),Homo sapiens,F8
A0A0C4DH30,A0A0C4DH30,NA,C,NA,canonical,1,0,90982,295.074,158,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Probable non-functional immunoglobulin heavy variable 3-16 isoform Iso 1 \GName=IGHV3-16 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=117 \SV=1 \EV=49 \PE=1 \ModResPsi=(41|MOD:00798|half cystine)(115|MOD:00798|half cystine) \ModRes=(73||N-li,Homo sapiens,IGHV3-16
P04439,P04439,NA,C,NA,canonical,1,0,9153,9.895,158,NA,NA,NA,NA,NA,NA,NA,NA,P04439,1043,16991,NA,NA,NA,"nP20K \PName=HLA class I histocompatibility antigen, A alpha chain isoform Iso 1 \GName=HLA-A \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=365 \SV=2 \EV=209 \PE=1 \ModResPsi=(83|MOD:00181|O4'-sulfo-L-tyrosine)(92|MOD:00134|N6-glycyl-L-lysine)(125|MOD:007",Homo sapiens,HLA-A
Q14517,Q14517,NA,C,NA,canonical,1,0,2655,0.29,159,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Protocadherin Fat 1 isoform Iso 1 \GName=FAT1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=4588 \SV=2 \EV=202 \PE=1 \ModResPsi=(152|MOD:00047|O-phospho-L-threonine)(153|MOD:00046|O-phospho-L-serine)(154|MOD:00048|O4'-phospho-L-tyrosine)(357|,Homo sapiens,FAT1
Q6UXB8,Q6UXB8,NA,C,NA,canonical,1,0,55622,60.131,160,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Peptidase inhibitor 16 isoform Iso 1 \GName=PI16 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=463 \SV=1 \EV=141 \PE=1 \ModRes=(114||N-linked (GlcNAc...) asparagine)(330||O-linked (GalNAc...) serine)(336||O-linked (GalNAc...) serine)(403||N-l,Homo sapiens,PI16
P17936,P17936,NA,C,NA,canonical,1,0,77152,97.308,160,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Insulin-like growth factor-binding protein 3 isoform Iso 1 \GName=IGFBP3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=291 \SV=2 \EV=233 \PE=1 \ModResPsi=(30|MOD:00046|O-phospho-L-serine)(145|MOD:00046|O-phospho-L-serine)(148|MOD:00046|O-phos,Homo sapiens,IGFBP3
Q86WI1,Q86WI1,NA,C,NA,canonical,1,0,2963,0.354,160,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Fibrocystin-L isoform Iso 1 \GName=PKHD1L1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=4243 \SV=2 \EV=140 \PE=1 \ModRes=(122||O-linked (GalNAc...) threonine)(445||O-linked (GalNAc...) threonine)(1803||O-linked (GalNAc...) threonine)(1839||O,Homo sapiens,PKHD1L1
P35542,P35542,NA,C,NA,canonical,1,0,260434,844.643,161,NA,NA,NA,NA,NA,NA,NA,NA,P35542,1605,21,NA,NA,NA,nP20K \PName=Serum amyloid A-4 protein isoform Iso 1 \GName=SAA4 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=130 \SV=2 \EV=163 \PE=1 \ModRes=(94||N-linked (GlcNAc...) asparagine) \VariantSimple=(1|T)(1|V)(2|K)(3|F)(3|V)(5|K)(6|C)(6|D)(6|V)(7|F)(7|T)(7|V,Homo sapiens,SAA4
P02745,P02745,NA,C,NA,canonical,1,0,72849,127.22,161,NA,NA,NA,NA,NA,NA,NA,NA,P02745,1009,10,NA,NA,NA,nP20K \PName=Complement C1q subcomponent subunit A isoform Iso 1 \GName=C1QA \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=245 \SV=2 \EV=225 \PE=1 \ModResPsi=(26|MOD:00798|half cystine)(26|MOD:00798|half cystine)(33|MOD:00037|5-hydroxy-L-lysine)(39|MOD:00,Homo sapiens,C1QA
P12955,P12955,NA,C,NA,canonical,1,0,24778,23.438,162,NA,NA,NA,NA,NA,NA,NA,NA,P12955,1240,41,NA,NA,NA,nP20K \PName=Xaa-Pro dipeptidase isoform Iso 1 \GName=PEPD \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=493 \SV=3 \EV=234 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(167|MOD:00046|O-phospho-L-serine)(487|MOD:00047|O-phospho-L-threonine)(490|MOD:000,Homo sapiens,PEPD
Q9H4B7,Q9H4B7,NA,C,NA,canonical,1,0,6834,6.465,162,NA,NA,NA,NA,NA,NA,NA,NA,Q9H4B7,3715,228,NA,NA,NA,nP20K \PName=Tubulin beta-1 chain isoform Iso 1 \GName=TUBB1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=451 \SV=1 \EV=173 \PE=1 \ModResPsi=(172|MOD:00046|O-phospho-L-serine)(440|MOD:00207|L-isoglutamyl-polyglutamic acid) \VariantSimple=(2|C)(2|G)(2|H)(,Homo sapiens,TUBB1
O00187,O00187,NA,C,NA,canonical,1,0,32017,21.378,162,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Mannan-binding lectin serine protease 2 isoform Iso 1 \GName=MASP2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=686 \SV=4 \EV=224 \PE=1 \ModResPsi=(72|MOD:00798|half cystine)(90|MOD:00798|half cystine)(142|MOD:00798|half cystine)(156|MOD:007,Homo sapiens,MASP2
O95445,O95445,NA,C,NA,canonical,1,0,117421,242.341,162,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Apolipoprotein M isoform Iso 1 \GName=APOM \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=188 \SV=2 \EV=186 \PE=1 \ModResPsi=(23|MOD:00798|half cystine)(167|MOD:00798|half cystine)(95|MOD:00798|half cystine)(183|MOD:00798|half cystine)(128|MOD,Homo sapiens,APOM
P54289,P54289,NA,C,NA,canonical,1,0,18694,7.193,164,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Voltage-dependent calcium channel subunit alpha-2/delta-1 isoform Iso 1 \GName=CACNA2D1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1103 \SV=3 \EV=205 \PE=1 \ModResPsi=(119|MOD:00046|O-phospho-L-serine)(404|MOD:00798|half cystine)(1059|MOD:,Homo sapiens,CACNA2D1
Q8NBP7,Q8NBP7,NA,C,NA,canonical,1,0,18464,11.977,164,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Proprotein convertase subtilisin/kexin type 9 isoform Iso 1 \GName=PCSK9 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=692 \SV=3 \EV=202 \PE=1 \ModResPsi=(38|MOD:00181|O4'-sulfo-L-tyrosine)(38|MOD:00048|O4'-phospho-L-tyrosine)(47|MOD:00046|O-,Homo sapiens,PCSK9
Q12860,Q12860,NA,C,NA,canonical,1,0,22353,9.062,165,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Contactin-1 isoform Iso 1 \GName=CNTN1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1018 \SV=1 \EV=203 \PE=1 \ModResPsi=(65|MOD:00798|half cystine)(114|MOD:00798|half cystine)(158|MOD:00798|half cystine)(211|MOD:00798|half cystine)(263|MOD:0,Homo sapiens,CNTN1
O43707,O43707,NA,C,NA,canonical,1,0,9169,3.652,166,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Alpha-actinin-4 isoform Iso 1 \GName=ACTN4 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=911 \SV=2 \EV=243 \PE=1 \ModResPsi=(31|MOD:00048|O4'-phospho-L-tyrosine)(69|MOD:00047|O-phospho-L-threonine)(114|MOD:00064|N6-acetyl-L-lysine)(181|MOD:00,Homo sapiens,ACTN4
P07359,P07359,NA,C,NA,canonical,1,0,38451,31.176,168,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Platelet glycoprotein Ib alpha chain isoform Iso 1 \GName=GP1BA \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=652 \SV=2 \EV=254 \PE=1 \ModResPsi=(20|MOD:00798|half cystine)(33|MOD:00798|half cystine)(225|MOD:00798|half cystine)(264|MOD:00798|,Homo sapiens,GP1BA
P18428,P18428,NA,C,NA,canonical,1,0,48945,58.483,168,NA,NA,NA,NA,NA,NA,NA,NA,P18428,1340,2,NA,NA,NA,nP20K \PName=Lipopolysaccharide-binding protein isoform Iso 1 \GName=LBP \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=481 \SV=3 \EV=189 \PE=1 \ModResPsi=(159|MOD:00798|half cystine)(198|MOD:00798|half cystine) \ModRes=(300||N-linked (GlcNAc...) asparagin,Homo sapiens,LBP
A0A0B4J1U7,A0A0B4J1U7,NA,C,NA,canonical,1,0,31006,140.783,168,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Immunoglobulin heavy variable 6-1 isoform Iso 1 \GName=IGHV6-1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=121 \SV=1 \EV=42 \PE=1 \ModResPsi=(42|MOD:00798|half cystine)(119|MOD:00798|half cystine) \VariantSimple=(2|P)(2|Y)(3|A)(3|D)(3|I)(4|,Homo sapiens,IGHV6-1
Q16706,Q16706,NA,C,NA,canonical,1,0,8675,3.455,168,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Alpha-mannosidase 2 isoform Iso 1 \GName=MAN2A1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1144 \SV=2 \EV=192 \PE=1 \ModResPsi=(75|MOD:00046|O-phospho-L-serine)(80|MOD:00046|O-phospho-L-serine)(82|MOD:00046|O-phospho-L-serine) \ModRes=(78|,Homo sapiens,MAN2A1
P78509,P78509,NA,C,NA,canonical,1,0,5861,0.893,172,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Reelin isoform Iso 1 \GName=RELN \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=3460 \SV=3 \EV=202 \PE=1 \ModResPsi=(40|MOD:00798|half cystine)(126|MOD:00798|half cystine)(154|MOD:00798|half cystine)(178|MOD:00798|half cystine)(539|MOD:00798|h,Homo sapiens,RELN
Q76LX8,Q76LX8,NA,C,NA,canonical,1,0,13284,4.308,172,NA,NA,NA,NA,NA,NA,NA,NA,Q76LX8,2828,33,NA,NA,NA,nP20K \PName=A disintegrin and metalloproteinase with thrombospondin motifs 13 isoform Iso 1 \GName=ADAMTS13 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1427 \SV=1 \EV=176 \PE=1 \ModResPsi=(155|MOD:00798|half cystine)(208|MOD:00798|half cystine)(202|MOD,Homo sapiens,ADAMTS13
P04075,P04075,NA,C,NA,canonical,1,0,26328,27.169,175,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Fructose-bisphosphate aldolase A isoform Iso 1 \GName=ALDOA \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=364 \SV=2 \EV=250 \PE=1 \ModResPsi=(3|MOD:00048|O4'-phospho-L-tyrosine)(5|MOD:00048|O4'-phospho-L-tyrosine)(9|MOD:00047|O-phospho-L-thre,Homo sapiens,ALDOA
P02746,P02746,NA,C,NA,canonical,1,0,151928,265.319,175,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Complement C1q subcomponent subunit B isoform Iso 1 \GName=C1QB \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=253 \SV=3 \EV=222 \PE=1 \ModResPsi=(28|MOD:00040|2-pyrrolidone-5-carboxylic acid (Gln))(31|MOD:00798|half cystine)(31|MOD:00798|half,Homo sapiens,C1QB
A0A0C4DH68,A0A0C4DH68,NA,C,NA,canonical,1,0,28283,128.419,179,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Immunoglobulin kappa variable 2-24 isoform Iso 1 \GName=IGKV2-24 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=120 \SV=1 \EV=48 \PE=1 \ModResPsi=(43|MOD:00798|half cystine)(113|MOD:00798|half cystine) \VariantSimple=(2|K)(2|S)(3|F)(4|V)(5|D)(,Homo sapiens,IGKV2-24
Q562R1,Q562R1,NA,C,NA,canonical,1,0,58654,63.409,179,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Beta-actin-like protein 2 isoform Iso 1 \GName=ACTBL2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=376 \SV=2 \EV=140 \PE=1 \ModResPsi=(7|MOD:00046|O-phospho-L-serine)(45|MOD:00720|L-methionine (R)-sulfoxide)(48|MOD:00720|L-methionine (R)-sul,Homo sapiens,ACTBL2
P07360,P07360,NA,C,NA,canonical,1,0,94880,179.501,180,NA,NA,NA,NA,NA,NA,NA,NA,P07360,1098,5,NA,NA,NA,nP20K \PName=Complement component C8 gamma chain isoform Iso 1 \GName=C8G \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=202 \SV=3 \EV=212 \PE=1 \ModResPsi=(21|MOD:00040|2-pyrrolidone-5-carboxylic acid (Gln))(35|MOD:00047|O-phospho-L-threonine)(60|MOD:0079,Homo sapiens,C8G
P02788,P02788,NA,C,NA,canonical,1,0,36203,17.867,181,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Lactotransferrin isoform Iso 1 \GName=LTF \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=710 \SV=6 \EV=253 \PE=1 \ModResPsi=(24|MOD:00046|O-phospho-L-serine)(28|MOD:00798|half cystine)(64|MOD:00798|half cystine)(38|MOD:00798|half cystine)(55|M,Homo sapiens,LTF
P0DJI8,P0DJI8,NA,C,NA,canonical,1,0,122062,395.873,182,NA,NA,NA,NA,NA,NA,NA,NA,P35542,1605,21,NA,NA,NA,"nP20K \PName=Serum amyloid A-1 protein isoform Iso 1 \GName=SAA1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=122 \SV=1 \EV=81 \PE=1 \ModResPsi=(101|MOD:00316|N4,N4-dimethyl-L-asparagine) \VariantSimple=(15|S)(70|A)(75|V)(78|N)(86|L)(90|D) \Processed=(1|",Homo sapiens,SAA1
P14618,P14618,NA,C,NA,canonical,1,0,19786,14.49,182,NA,NA,NA,NA,NA,NA,NA,NA,P14618,1273,60,NA,NA,NA,"nP20K \PName=Pyruvate kinase PKM isoform M2 \GName=PKM \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=531 \SV=4 \EV=266 \PE=1 \ModResPsi=(2|MOD:00060|N-acetyl-L-serine)(3|MOD:00083|N6,N6,N6-trimethyl-L-lysine)(3|MOD:00085|N6-methyl-L-lysine)(3|MOD:00134|N6",Homo sapiens,PKM
P02656,P02656,NA,C,NA,canonical,1,0,362397,1371.22,183,NA,NA,NA,NA,NA,NA,NA,NA,P02656,1005,4,NA,NA,NA,nP20K \PName=Apolipoprotein C-III isoform Iso 1 \GName=APOC3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=99 \SV=1 \EV=209 \PE=1 \ModResPsi=(44|MOD:00064|N6-acetyl-L-lysine) \ModRes=(94||O-linked (GalNAc...) threonine) \VariantSimple=(1|I)(1|L)(1|T)(1|V),Homo sapiens,APOC3
P19320,P19320,NA,C,NA,canonical,1,0,45480,24.584,184,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Vascular cell adhesion protein 1 isoform Iso 1 \GName=VCAM1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=739 \SV=1 \EV=251 \PE=1 \ModResPsi=(47|MOD:00798|half cystine)(95|MOD:00798|half cystine)(52|MOD:00798|half cystine)(99|MOD:00798|half c,Homo sapiens,VCAM1
P04350,P04350,NA,C,NA,canonical,1,0,7466,7.704,184,NA,NA,NA,NA,NA,NA,NA,NA,Q9H4B7,3715,228,NA,NA,NA,nP20K \PName=Tubulin beta-4A chain isoform Iso 1 \GName=TUBB4A \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=444 \SV=2 \EV=225 \PE=1 \ModResPsi=(55|MOD:00047|O-phospho-L-threonine)(172|MOD:00046|O-phospho-L-serine)(335|MOD:00046|O-phospho-L-serine)(379|MO,Homo sapiens,TUBB4A
Q6UWP8,Q6UWP8,NA,C,NA,canonical,1,0,19180,13.195,184,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Suprabasin isoform Iso 1 \GName=SBSN \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=590 \SV=2 \EV=134 \PE=1 \ModRes=(59||O-linked (GalNAc...) threonine) \VariantSimple=(2|R)(5|C)(5|H)(5|L)(7|F)(8|S)(9|F)(10|R)(10|S)(11|C)(11|F)(17|R)(18|S)(20|,Homo sapiens,SBSN
Q12805,Q12805,NA,C,NA,canonical,1,0,52949,48.083,184,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=EGF-containing fibulin-like extracellular matrix protein 1 isoform Iso 1 \GName=EFEMP1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=493 \SV=2 \EV=216 \PE=1 \ModResPsi=(20|MOD:00047|O-phospho-L-threonine)(23|MOD:00047|O-phospho-L-threonine)(2,Homo sapiens,EFEMP1
